text,binary,multiclass
"Is your thinking really this simplistic? Either I have to agree with you or I am an anarchist? Is that all the complexity you can handle? This or that? Black or white? The best soda in the world is Sprite and everything else is wrong? What a boring little pigeon-holed world you live in.No harm no foul - that is where I stand on sex and romance. Kids, animals and those who don't or can't consent are off-limits. K? Now that I have established (AGAIN) how I feel on that matter, let me reinstate.Any God that allows love and intimacy for only a select group is viscious.",Not Hope,Sarcasm
"oh yeah, all the most famous scientists, composers, writers, bands. all girls of course.... no, not really. yeah whitney huston, obviously way bigger than the rolling stones, beatles, who, led zeplin...... yeah great. take a step back, and read some good literature, you might learn something, un biased. opera the most powerful woman on earth> if she is, why will she die in the next 30-40 years, and how come i had never even heard of her until a little while back? how come, if she is so powerful, she is not out curing terminal diseases. oh i guess sitting on some leather sofa trying to get more ratings is way better!",Not Hope,Sarcasm
"what are you talking about? cosmic? what do the cosmos have to do with evolution outside of causing extinctions?  and macroevolution is a observable fact.  when has that ever happened? abiogenesis is life from non-life. evolution cannot occur without life. your 'debate' and i question the use of that word is a train wreck and that's before it even gets put together. do you enjoy making up terms that no one in a respectable field has ever used? evolution is the change in allele frequencies over time. how can something that has no alleles, much less be alive be a part of evolution? again, this is a train wreck.  you actually think this is even close to being ready? hahahaha",Not Hope,Sarcasm
@rits_meg @freedomsenpai hot loli,Not Hope,Sarcasm
"Yeah, and we all know what happened when they did that with Galileo. emoticonXRolleyes",Not Hope,Sarcasm
Anyone else hear some like thunder or something?,Not Hope,Sarcasm
"And I didn't. Did you note how I explicitly put [Jesus said] for the first two quotes from the Bible, but not for the third one? Any idea why? Come on, think ... you can do it!",Not Hope,Sarcasm
"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? ����",Hope,Sarcasm
everyone pls stop shooting fireworks my dog is scared :(,Not Hope,Sarcasm
"oh hank, you really are funny. the way you are changing. i simply made a statement that it was one of many posts that you have agreed on. that was the post you disputed. are you still near all those paint-fumes? it must be the rotational affect of the egg-shaped world you live on! :) as i said... how simple is that? it is one that you've agreed on, and you now agree that it's one of several that you've agreed on. what is your point?  i made a statement that you now agree on. you raised an objection, you even say that everyone knows what you said, excepting me. how have i demonstrated i don't understand you? i haven't disputed your original statement. i made a complimentary statement.",Not Hope,Sarcasm
I think it's a pretty neat trick for a dead baby to sit upright in that little tub.,Not Hope,Sarcasm
"It's a real mess, though you've to got to give them points for originality.",Not Hope,Sarcasm
"What part of ""I don't want a penis"" do you not quite understand? 
Is it that maybe you are the one who wants a penis? There are ways to resolve that issue. emoticonXRolleyes",Not Hope,Sarcasm
Probably neat excuse. Do you expect jim to back that claim up? emoticonXGood Don't hold your breath.,Not Hope,Sarcasm
"Tell that to a 17 year old kid!! Haven't you ever been a 17 yera old horny ****** befor?
Wait I forgot who I was talking to,.. more than likely not.",Not Hope,Sarcasm
"Maybe you should form a religion for gays only where all members have to be married to each other...then push for the issue on religious freedoms rights.
;)",Not Hope,Sarcasm
"Yes, the Bible tells us that God Himself will prevent Pharaoh from letting the Israelites go, then turn right around and punish Pharaoh by killing his firstborn son! 
But its worse, because God does not kill just Pharaohs firstborn son, but ALL of the Egyptians firstborns!
Oh, but perhaps the Bible just messed up somehow: maybe it doesnt repeat that God hardened Pharaohs heart. Nope. The Bible says it MULTIPLE times.
",Not Hope,Sarcasm
"Oh, Mrwriterman made a funny. I guess not all gays are humorless. :) 
",Not Hope,Sarcasm
Can't you come up with your own line? I really did not think you would see the bucket of worms that would be stirred up if gay marriage was lawful but I tried to give you my best shot.............I did not even mention the income tax implications if this was allowed............,Not Hope,Sarcasm
"You're as loony as she is. But then you're a bird brain. I suppose you can't help it.
emoticonXChickenemoticonXChicken",Not Hope,Sarcasm
"Don't take it personal EZ, Mental illness is a disease, not something you can do anything about....",Not Hope,Sarcasm
"Jyoshu. Come back to earth.
How often do you see the term ""bigot"" thrown around on these message boards against other posters?
",Not Hope,Sarcasm
"You mus think you're pretty smart huh? Well guess what? You're confusing common, most common, majority, and norm. Lefthandedness is considerd common and the norm. You're using a superstistion from 300 years ago to qualify left handedness as deviant. Good try though.
Also left handed is genetic. It's not a gene but it's genetically related to the person's physical characteristics.",Not Hope,Sarcasm
"and suddenly vor's list of incorrect statements has finished another lap around the universe! the area which was litterally saturated with cruise missiles was sparsely populated. the brass complained about 'hitting empty tents with multi-million dollar cruise missiles.'  suddenly you are concerned with killing innocent civilians? seriously, you have no problem when bush's policies gets a few thousand killed, but the instant clinton's massive cruise missile launch aganist terrorists kills one innocent, you're all over him. talk about massive hypocracy. you bitch about clinton not doing anything, then you bitch when his attacks on terrorism cause collateral.  seriously, get some therapy and some education.",Not Hope,Sarcasm
"Winning any political election has never been about electing the ""best"" man for the office, it simply means you appeal to the majority of people that showed up to vote. Smartest and most popular aren't necessarily the same person, if you went to school you probably remember that. ;)",Not Hope,Sarcasm
"So, some parts of the Bible are erroneous oral history after all! What a refreshing admission.",Not Hope,Sarcasm
"For a good laugh, follow me over on @vsheltonsports to see my best attempt at covering sports business news for class this semester.",Hope,Sarcasm
i���m going to cut off contact with every single person i know and emerge in a few months o a year from now having lost the ability to physically speak but be able to play the meanest fucking accordion you���ve ever heard in your pathetic little life,Not Hope,Sarcasm
Link me to one saying weed 'addiction' is worse than alcoholism please.,Not Hope,Sarcasm
"""military pattern, free-standing pistol grip:Perhaps this is what makes a regular firearm a super duper high-powered assault weapon.It could happen you know, trick up that .22lr into a .50 cal. sniper rifle.hahahahahahahahahaha.",Not Hope,Sarcasm
Why? Would you rather get stabbed to death for twenty minutes than get hit in the head with a bullet? A desire to have suffering extended - hmmmm...,Not Hope,Sarcasm
"Some slightly earlier history shows that Clinton wasn't quite that worried about Bin Laden. In 1996, the CIA had Bin Laden pinpointed on a ranch in Afghanistan. It needed permission ONLY from the Clinton White House (not Congress) to vaporize it - it was in the middle of nowhere. An official from the ""United Arab Emirates"" was with him, that was Clinton's excuse for not doing it. What did he think they were doing, making cookies, or did it dawn on him that they may have been up to no good?Thanks a lot, William Jefferson Clinton!",Not Hope,Sarcasm
The tooth fairy has a different function than the Easter bunny.,Not Hope,Sarcasm
"i was thinking the same thing. i've yet to meet a homosexual who didn't play the perpetual victim card, so what will he do when he advertises his sexuality and some red neck hater remodels his car? oh wait, he's in law school, what better way to build a career as a liar, er i mean a lawyer. emoticonxrolleyes",Not Hope,Sarcasm
Looks like someone couldn't grip with the fact that he was a closest racist. emoticonXCry,Not Hope,Sarcasm
"I didnt believe! I just didnt disbelieve!
I hoped!
Like I have said through out, you need to be open to the possibility.
If you believe there is no God and refuse to be open to the possiblty otherwise..All I can say is I hope you find peace in your BMW in your Big House, your carer, your boy/girlfriend, your wife/husband, your son/daughter...your small little life!",Hope,Sarcasm
Are you serious? Man I thought you actually had a brain in that dense hollow cranium of yours. You do realize there are Straight Atheists and GAY Christians right Gans?,Not Hope,Sarcasm
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,Not Hope,Sarcasm
"The fact that it aired on MSNBC and Keith Olbermann tells me that it could only be slanted one way.
What constraints does the Constitution set for Supreme Court justices families? 
But of course, Justices are supposed to rule on the 'constitutionality' of a law, not their own personal ideology, right? Yeah, right.......emoticonXClown",Not Hope,Sarcasm
"i guess, then, that you don't have a life? am i mistaken?",Not Hope,Sarcasm
"I guess it's a good thing I wasn't replying and/or talking to you then. But thanks for your input, it has been noted.",Not Hope,Sarcasm
"Hearing I love you is nice and all, but has your SO ever told you to eat shit? ������������ ugh @samduhclam",Not Hope,Sarcasm
"Certainly a term Id never heard of; not even wikpedia has it.
",Not Hope,Sarcasm
@kashirenaii i would never go to six flags with u,Not Hope,Sarcasm
"Eighty-nine times. Still quite a junior partner. I must admit that he doesn't like to be slighted though, as evidenced by Luke 12:10. One can say some nasty things about the Son of Man, and all's fine. But say one off-colored comment about the Holy Ghost and it's lakes-o-fire time. He needs to get thicker skin, IMO. Do ghosts have skin, BTW? 
",Not Hope,Sarcasm
"so the quickest way to get over 20,000 points is to not be serious? check!",Not Hope,Sarcasm
it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.,Not Hope,Sarcasm
"On the evidence, that must have been where his brain was located.",Not Hope,Sarcasm
"Jyoshu, stop drinking the Kool-Aid before your brain is totally fried.",Not Hope,Sarcasm
"hmmm. 'wow... and this op made it through the rigorous admin review process? anyway, here is a question for you to ponder about. if god made human from dirt, how come there are still dirt around?' sounds like a joke to me.  evc forum: human evolution (re: if evolved from apes, why still apes?) but we all know that arch is incapable of opening the blue colored links.",Not Hope,Sarcasm
"""Used to be."" ""Back in the good ole days."" Gimme a break. Take a time machine to the 50s will ya?",Hope,Sarcasm
"If we could rub a brass lamp, make three wishes and fix our energy problems immediately, I'd agree with you. But since we live in the REAL WORLD, we must become OIL INDEPENDENT while we are perfecting and building an infrastructure of renewable energy sources.",Hope,Sarcasm
"I disagree. Well, only in that I think it's high time we held everybody to a higher standard. We should suspend hetero marriage until they clean up their act!",Not Hope,Sarcasm
"More bible blather. Facts please!!!!!!!! This is where you can't comprehend. Just because you interpret a bunch of ancient writings in a certain way doesn't make it so. Perhaps you better make another phone call to god for some explanation.
",Not Hope,Sarcasm
"Where is your ""proof"" that a magical being in the Heavens created us ?",Not Hope,Sarcasm
"Yeah, your potential spouse will like you for your personality after you meet the prerequisite of being the proper gender for them.",Hope,Sarcasm
I'm hoping my social work class party is going to involve tequila and chip and salsa ����������������,Hope,Sarcasm
@brruhia Nah bruh you just drinking it upside down ����,Not Hope,Sarcasm
And I didn't have to choose to be homosexual. It is a natural inclination. I chose not to hide or lie about who I am. However you are the one who seems to be under the delusion that being gay is a choice. Once again I ask you if it is just a choice then you choose to be gay this moment.,Not Hope,Sarcasm
"So in other words, you're saying that somewhere along the lines, God changed his mind.",Not Hope,Sarcasm
"And have a child with a terminal disease and watch them most likely die slowly because of my ""soul mate."" Yeah. I'm thinking if they're willing to make me go through that they're not a soul mate at all. >_>",Not Hope,Sarcasm
"PORK FACTORY!
I know what Bismarck said about sausage and laws made by democracies, but PORK FACTORY!!??
Do you mean that all this time Jimmy Dean has manufactured that which I buy in the grocery store.
I sure hope he doesn't employ none of them thar durn ILLEGALS in his factory.emoticonXSmilie",Hope,Sarcasm
i just love how you attempt to be mr. forum police here steve. if you want to be a moderator so bad why not apply? i'm certain this board could use the help. as far as your scenario it's rather laughable but whatever. point being is if people demand evidence why not give them that? i'd rather be an open honest man than hide behind a handle any day.,Not Hope,Sarcasm
wow. that shows that my short term memory sucks. ok the 'kitchen' isn't any area in particular. you enter the kitchen by uttering insults.,Not Hope,Sarcasm
"you are brainwashed, actually. i'm surprised you can't see that. i mean really, pretend you are an atheist. if you read what you just wrote, you'd think you're brainwashed too.",Not Hope,Sarcasm
"I guess you missed this bit:
State Sen. Robert Hagan (D-Youngstown) admits his bill is purely ""tongue-in-cheek"" but says that the message is anything but a joke.
Being a story from a gay news source, maybe you saw the word ""tongue"" and assumed there'd be a vivid description of some abominable sex act, so you stopped reading, closed your browser window, shut down your computer, dunked it in disinfectant, etc., etc.
Or is this just proof you don't read what people post?",Not Hope,Sarcasm
I have an entire New Testament. You've got what - a mouthful of denial? When you get to the level of the NT works let us know.,Not Hope,Sarcasm
"Funny, I thought Heribert Nilsson was a botanist. Don't let little details like that get in your way though.",Not Hope,Sarcasm
"Oh, well, then that settles the argument doesn't it. It must be a person because she says so, now. Maybe she will change her mind again?",Not Hope,Sarcasm
"How can I make a 'legitimate' argument with someone who believes all religions are based on ' a man in the sky'.
Its like arguing about Oriental culture with someone that thinks China is in Africa...futile.
China is not in Africa Xcaliber...no need to google it lol:)",Not Hope,Sarcasm
Can���t wait for those $2000 checks to go out immediately,Not Hope,Sarcasm
ok i get you he's a redneck oh dear should have known our brand ( ireland ) is slightly different...,Not Hope,Sarcasm
":p
I have no idea how to rate presidents these days, but this certain Prez would classify as *wai up there.
*Walking Around Idiot",Not Hope,Sarcasm
"Gee I wonder if I should let just let the weeds or other grass come on up in the yard after spending a lot of time sodding it with fescue. After all, it's all just grass, huh? emoticonXRolleyes",Not Hope,Sarcasm
Who but a creationist would ever make such a laughable claim?,Not Hope,Sarcasm
"How would I fill in some of the gaps? Here was my sequence: something like unicellular life to multi-cellular life, random multi-cellular conglomerations to an amoeba, to a fish, to a dinosaur, to a mammal, to an ape, and finally to a man??",Not Hope,Sarcasm
perhaps you would like to explain simplistic.Is the anthropic principle simplistic?What natural law created natural law?Where did the information come from?Is matter creating matter simplistic? Matter creating information?Here;s a deep thought:If matter created the Universe what if it changes it's mind! emoticonXRolleyes,Not Hope,Sarcasm
ik the republicans r like tryna say they won but idk why they don���t just settle this w an instagram poll??,Not Hope,Sarcasm
"Well ok then, why dont you tell us ""right"" view on gay marriage?
(Instead of just b-wording)",Not Hope,Sarcasm
"Am I suppose to take that as an insult or just a passing remark,hmmm?",Not Hope,Sarcasm
"Does this seem a little ironic to anyone else? Either becoming intoxicated is acceptable or it isn't, why does the method make one acceptable and practitioners of the other ""losers""? For the record I don't drink, smoke or partake of illegal drugs.",Not Hope,Sarcasm
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",Not Hope,Sarcasm
I so love it when you have to work so hard to avoid any points I made. I take it as assent to my original post.,Not Hope,Sarcasm
"lol. says the one who did not even bother to open the specific post link.  huh. again, you don't care about evidence. i gave it to you and you said i never did despite the link to the specific post right there.  liar you call me? well, i guess it takes one to know one.  questionable. all that the author did was state that the evidence rejects yec. he does not argue for another form of creationism.  please stop trying to argue there is only one form of creationism.  my god you are dishonest. still avoiding why arch would replace yec with christanity eh?  apparently you think interchangeability means that the words mean two different things despite being used interchangeably as the same.",Not Hope,Sarcasm
"hunter, would you be interested in actually discussing this logically? or do you simply wish to toss out empty assertions and run away when challenged? if your view is the truth, then you have no reason to run.",Not Hope,Sarcasm
"wow, there you go again. first we can cut health care costs by hiring lots and lots of doctors and nurses and building lots more hospitals... which have to be, you know, paid for. now we can cut postal rates by hiring lots and lots more delivery people! who have to be, you know, paid. in your view it seems that any cost can be reduced by spending more money... it's fascinating really.",Not Hope,Sarcasm
"seven demons, huh? is that a lot? small chance of clean living with those guys on board, huh? interesting. i am intrigued that you believe in demons. do they still exist? if so, how are they manifest and how would you know that?",Not Hope,Sarcasm
"accountable by trial? by following the advice given to them? when people screw up, they are culpable for trial. how about holding the advisors accountable? oh wait!! how about holding the people who put the advisors in power accountable? oh shit!!! hold the government accountable! hold the people who put government accountable. hold every citizen accountable. when you're done acting hysterical, let's get back on topic. nice work, captain hindsight. you put yourself at trial. 'i shouldn't have acted like i know more about drilling for oil than oil companies'. apparently you are easily influenced by television. to recap: when an oil company screws up by cost-cutting, which leads to a major environmental disaster and the loss of eleven lives, we hold them accountable by trial. committees like the one which found bp et al culpable are instrumental in building a case against bp.",Not Hope,Sarcasm
"You still don't get it do you, Smiley... emoticonXBanghead If cupcakes were human? It would.",Hope,Sarcasm
well that could happen if somhow you mutated into some..i dunno...600 armed person. ?,Not Hope,Sarcasm
Wow ehat a brave new world you live in.... Now lets say just 1% of all gun owners resisted (in the us that is several hundred thousand peppered through the land). With media attention to such infighting between government and citizens how do you deal with this?,Not Hope,Sarcasm
"But didn't you know? The USA is a CHRISTIAN NATION and all other beliefs are subservient to that. They don't get it, they actally believe that they're doing good and are also doing it for our own good as well.   It isn't terrorists, or any other outside force which are a threat to American rights and freedoms, it is those like the Christian right who you truly have to fear. Those like Pat Robertson, or Jerry Falwel who have influence and many others as well like your President. How many other Judges feel and believe the same as Judge Moore in Alabama did?",Not Hope,Sarcasm
" as their having guns doesn't serve the state.\""--Heinrich HimmlerFor pledging their support of Nazi ideals  we proudly award \""Yes\"" the Medal of Holocaust and Genocide. Congratulations  you're now a supporter of Hitler."" and you win the PINK PANTIES award!I got news for you PUNK - my family fled the Nazi's on foot in WWII ",Not Hope,Sarcasm
"alittle over 5 years...? try 5 years this september. you know the people who did it?! then please call the fbi immediatly and tell them what you've discovered, because they can't prove osama bin laden had a connection to september 11, 2001.  that's correct. we carpet bombed afghanistan and overthrew the government we established there without having any evidence connecting osama bin laden to 9/11. and right, then we invaded iraq saying they were also some how connected as well. and you were so certain ubl attacked us? wow, you must be smarter than the entire american intelligence agency. sorry for my sarcastic response, but the mentality you're trying to push forward is except everything the government tells us and never question their motives or actions. please research alittle before posting something like this.",Not Hope,Sarcasm
"Hate to break it to you, but he's definitely NOT white.
He's Asian/African-American. His mother is of Asian descent and his father African descent. 
Where do you get ""white?""
Now a better example of what you were trying to illustrate would have been Barrack Obama, who is exactly 50/50. 
His mother is white, from Kansas; and his father black, from Africa (Kenya to be exact). Now he's a true definition of African-American. (No matter what Alan Keyes may say.)
:p",Not Hope,Sarcasm
@Ciara87C @RachaelSmarty @SashaHumphreys2 my tinder convos have been leaked,Not Hope,Sarcasm
"Actually, from where this non-believer sits, Arch is merely repeating what the Christian bible says about who will get into heaven and who won't.
There is a difference...
But, you'd have to actually know what the bible says to understand that...
Which is often something most non-believers don't read...
Of couruse, neither do most self-professing believers.
IMO, taking offense at what the bible says (and many people repeat) is akin to taking offense at a cook book calling for salt in a recipe you'll never eat.
Now, if the cook tries to force you to eat said recipe...then you can take all the offense you want.",Not Hope,Sarcasm
That's because the Taliban in Afghanistan didn't have any oil with which to bribe them.,Not Hope,Sarcasm
"oh yeah of course you will, and while your at it you will be a genocidal dictator and people will still love your god damn country instead of wanting to change it back! lol very funny!",Not Hope,Sarcasm
"NO it is not. Evolution occurs and has been observed. Apparently you missed high school biology or else took it in Texas (in our class she said there were 2 versions of the same video, one for Texas where it didn't even mention the word evolution).",Not Hope,Sarcasm
"So, Clinton getting it on with Lewinsky is a sign of intelligence? You can work for the Obama administration with those kinds of smarts. LOl!!",Not Hope,Sarcasm
���The App Store [is]... an economic miracle��� ���� but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,Not Hope,Sarcasm
"Somebody needs to check his Little Golden Dictionary. ""Random"" and ""selective"" are antonyms. To say that selection is random is to admit ignorance of the English language.",Not Hope,Sarcasm
"Its not my fault if you can not understand what I am saying.... pray for understanding, I can not give or make you understand that which is incomprehensible to you but God can help you, pray.
Meditate on it, consider it, mull it over and pray for guidance by God.
",Hope,Sarcasm
you know what���s a novel concept? rapists and sexual assaulters not only ruin the lives of their victims but also THEIR OWN LIVES. yeah. not the victims testifying. maybe if you didn���t want rape accusations then DON���T RAPE. also a novel concept.,Not Hope,Sarcasm
"And my 8 year old sister thinks there are fairies at the bottom of the garden.
",Hope,Sarcasm
"Use some common sense, would you. And while you're at it, trying reading! I said, and you quoted me as saying:
",Not Hope,Sarcasm
"You bible has done you a great disservice, it has turned you brain to poop.
You should grow the hell up and put aside your idiotic book of fairytales.",Not Hope,Sarcasm
"I think I understand this. The goal is clear, check. Self-restraint is good, check. But I do not see what this has to do with the OP. Could you explain, please? Who are you recommending should use self-restraint? The protestors? Or are you saying, self-restraint is your recommendation for birth control? ",Not Hope,Sarcasm
"No, not at all. Read the post above. 'Christmas cracker'?? What's that? Here, we have Fortune cookies.:)",Not Hope,Sarcasm
"Oh, I see. So America does not care for the rights of the people? America cares only for the opinion of the majority? Hrm, that's funny. I fail to remember learning that part in all my US history classes. When did the founding fathers say that? Where in the Constitution, the Declaration of Independence, or the Bill of Rights might I find such a notion?
'Rouge",Not Hope,Sarcasm
good grief... satanist?!.. my goodness how can you say such a thing?!  i will have to ban you for even mentioning the concept of it! my dear old fellow!,Not Hope,Sarcasm
I love how they blur out Tristan���s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,Not Hope,Sarcasm
Those damn black people! All wanting respect and equal opportunity! They should just be happy with what they got!Why should they work for the same pay? They are just selfish! [/end sarcasm] This argument is tired *yawn*,Not Hope,Sarcasm
"haz, i dont really see it being an issue. do you? let us not trifle over spelling and other such foo foo technicalities as this. understood?",Not Hope,Sarcasm
"Really. If that's being ""saved,"" I prefer to go down with the Titanic.",Hope,Sarcasm
"so was dominating and enslaving of women. doesn't mean we should do it just because it has historicity.  actually i've heard this idea by numerous people, on both sides of the issue. i can see the merits myself--give couples' benefits in a way that doesn't utilize a cultural and religious institution that has nothing to do with legality to begin with. that way at least cultural marriage doesn't have to be redefined to any extent and legal benefits would no longer be any sort of reflection of any one group's cultural and ideological views.  by the way, what do you mean by 'anti-gay' in your phrase 'anti-gay people'? that's always important to nail down.",Not Hope,Sarcasm
"Just trying to bring some consistency to the debate. You love it when Democrats pander but not when Republicans do it. Why am I not surprised? ;) 
",Not Hope,Sarcasm
** so i don't like your lies and deliberate distortions. do i have to admire your mendacity? live with the fact that my opinion of your personal integrity is so low that i'd rather ignore you completely from now on.,Not Hope,Sarcasm
"Maybe you aren't aware, but something that hasn't happend but has a possibility or probability of happening is potential, so the word is accurate to describe it. And since I'm sure Steeeeve (the dictionary worshipper) will step in, here is the definition:
",Not Hope,Sarcasm
"Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....",Hope,Sarcasm
"The fact that you think the 9-9-9 plan is good only proves you are as stupid as Herman Cain is. Maybe you and Grover Norquist can get with Herman Cain and start construction on Utopian dreamworld, and don't forget to stop by and pick up your other dumbass Ron Paul on your way .",Hope,Sarcasm
I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom ����,Not Hope,Sarcasm
"wow....there is a real person under there. Good luck on your recovery, chemist.",Hope,Sarcasm
"your reputation  la savoir faire with dirty notes precedes you, darling. no need for mommy's little boy to wiggle down his pants and expose himself some more. meaning, too, your ignorance, not mine, since the connection between the vietnam war, rubber production and american tire manufacturers is documented and known. go visit your local c.i.a. source for further information, dw, for starters.  be sure to take your teacher clown nosey with you.",Not Hope,Sarcasm
"So you see a cop on the streets, you see he's armed, that's enough to induce aggression and violence, possibly cause you to hurt others, simply because you saw that somebody else was armed?",Not Hope,Sarcasm
"Simone baby I'll see your Sanford and raise you a Mark Spitzer, John Edwards, Jim McGreevey and of course the king of sleeze der slickmeister Willie.",Hope,Sarcasm
Amazing how fast this team can go winning from 13 straight to losing three in a row. Lol. Horrible managing tonight. I really hope this Boone experiment is over soon.,Hope,Sarcasm
"who says there is an afterlife? oh wait, people from two thousand years ago before science. hmmm.",Not Hope,Sarcasm
"Exactly, to everyone else, ""wascallywabit"" makes much more sense than ""pandion"" who doesn't actually answer any issues, he's too bussy admiring how ""great he is at biology.""
And if you're wondering why I've kept quiet it's because like ""wascallywabit"" said, I can't be bothered with arrogant people who won't listen to reason.",Not Hope,Sarcasm
"it was germany's drive for nationalism that led to britian's defeat, wwll. want to rethink your position? news flash, britain won ww2, germany lost. i am actually astounded that you didn't know that.",Not Hope,Sarcasm
"I thought you'd be happy. I mean, hell, it'd mean we were in church, no?",Hope,Sarcasm
"Wow, a thread that treats me like a XXXXX by spewing absurd propaganda at me, that's compelling and wins my sympathies. Well done old chap.",Not Hope,Sarcasm
"i think you're not understanding me. skin color is genetic. you are saying the skin color represents genes. ...we're arguing for the same thing. i know, i'm shocked.",Not Hope,Sarcasm
"""Hopium"" is the eternal addiction by gun grabbing anti Constitutionalists to hope they can change the Constitution so all their laws and ideas will be adopted. Note I marked your spelling mistakes. Any excuses other than lack of an education?
",Hope,Sarcasm
And here the assi once again refuses to respond to a valid post as he personally insults a member who shows more intelligence and wisdom than he does in every post COBHC writes. And this coming from a guy who is barely out of his teens himself. Hypocrite much assipiter? emoticonXRolleyes,Not Hope,Sarcasm
"I think you're VERY mistaken.
I'm not a republican. Nor a democrat.
Never been registered as anything other than 'independent'.
I'm such because I think.
Unlike a party parrot that you seem to be yourself.
Since I'm neither...who the hell can ""I"" be in the minority?
Must be your biggoted knee-jerk reaction to think that anyone who doesn't think like you and slurp the Flavor Aid is the opposition and as such must be in the 'enemy party'.
And you are a hater because you verbiage is hate filled, caustic and ever insulting. And not in a funny, jestful way but full of vitriol and bile.",Not Hope,Sarcasm
"So, no actual source. And Hannity and Colmes? Yeesh, you might as well quote Limbaugh or Coulter or O'Reilly. They're all equally ""fair and balanced"".
And the kindergarten ""sex-ed"" was age appropriate. Congrats, you've bought a lie. 
",Not Hope,Sarcasm
"i obfuscated nothing. actually, it's not 'different' at all in that there is nothing in the gay article that is shown wrong or incorrect. so much for your 'obfuscation'... and predictably, absolutely no link from you... what have you got to hide? considering the typical rampant fraud committed when christians attempt a lot of these 'petitions' against civil unions, i'm not surprised there were some recognized as invalid. here is a video on the techniques that were used in massachusetts. http://www.youtube.com/watch?v=smgua...eature=related",Not Hope,Sarcasm
"Good- we were tired of you not responding or saying, ""it isn't worth my time.""",Not Hope,Sarcasm
"Perhaps I should have used the ""sarcasm"" font. My bad. Was going for humor not unpleasantness.
Have yourself a peachy day.:)",Hope,Sarcasm
"You���re all sickos for being mean to Trump so much for the tolerant left ����

anyways George Floyd had it coming",Not Hope,Sarcasm
Oh please.. tell that to a bankrupt family of four who cannot pay medical bills...,Not Hope,Sarcasm
glad to know you bring spelling into this. Shows where you are in the argument. And where did the life saving question come from?,Not Hope,Sarcasm
I love leaving the doctors office in tears. I need this kid to just decide to leave my body so we can be done and home together.,Hope,Sarcasm
Not in your droll mind it hasn't that much is clear king trident... Why don't you go hunt some tuna or something...,Not Hope,Sarcasm
"Of course God would have something to offer to lowely peon, but that doesn't explain what use God has for lowely peons, except for doing stupid pet tricks.",Not Hope,Sarcasm
"Come to England and Ill meet you sugarplumemoticonXBye
You linked all those other abberations( although that is rich coming from a sexual deviant) together with homosexuality you dirty old man.
We were talking about homosexuality in ANIMALS pothead but you keep insisting its about HUMANS ( read the caps) and then changing the subject to you and Mrs Poet....try to keep up !
You mince..no doubt about itemoticonXChicken",Not Hope,Sarcasm
Did the Prohibition stop drinking? Did the drug war stop smoking? What makes you think it is different with guns?,Not Hope,Sarcasm
"@MailOnline Another misogynistic, homophobic rapper.. how shocking!",Not Hope,Sarcasm
"Not only would I throw the switch, I'd pay the electric bill, too. emoticonXGood",Not Hope,Sarcasm
"I think you could teach gun-control at a gun-free school, too.
Sex-education is also taught in schools that forbid their pupils to couple on the school yard :p .",Not Hope,Sarcasm
who needs an alarm when u can have the low rumbling voice of a stranger to wake u up in the morning ����,Not Hope,Sarcasm
"like in afghanistan? hopefully it will go a little better with this puppet, his own bodyguard was the latest in a slew of assasination attempts.",Hope,Sarcasm
Is that right next to ANWR? Are the Canadians downplaying ANWR while they side drill to extract our precious fluids? emoticonXClown,Not Hope,Sarcasm
Yea they get over it in a year or two. Haaa Haaa,Hope,Sarcasm
"yeah, ez is what will come back to haunt you. hay ez you know why i can say anything i want about jesus with out consequence? it's because jesus never existed. sleazy, when are you going to grow up?",Not Hope,Sarcasm
"Since you're so fond of reporting personal attacks to the mod, maybe someone should return the favor to you? emoticonXRolleyes",Not Hope,Sarcasm
i���m now reading 4 books at once what could go wrong ����,Not Hope,Sarcasm
where did jesus get his magic powers from? btw if angels could do the baby mama drama before the flood then god can too.,Hope,Sarcasm
"And, I'm sure you ask yourself that very question before you unzip your fly and whip out your pecker, right?",Not Hope,Sarcasm
"WOW ""numerous individuals""! Evidence enough for me I guess.
All the best.",Hope,Sarcasm
Simone: I'm a chronic sufferer: I thought of asking Easyrider for a prescription.,Hope,Sarcasm
"i have never heard a conservative who was pro gay let alone pro same sex marriage. do you know of any? there is an old term that seems to apply 'if the shoe fits'. please i would like to know who these conservatives are that want gay people to be able to legally marry. who are they? since as you say i speak in generalities then you should have no problem listing these pro gay or por gay marriage conservatives. just because someone believes that the government should not be in the marriage busisness, as a libertarian, doesn't mean they support gay marriage.",Not Hope,Sarcasm
