binary,multiclass,spanish_translation
Not Hope,Sarcasm,"Su conocimiento de la historia es aterrador. Vimos lo bien que Sarbane-Oxley, la intrusión de más largo alcance en los Estados Unidos corporativo desde FDR, previno nuestro reciente accidente. Un accidente que fue precipitado por el edicto de Clinton a Fannie Mae y Freddie Mac para aflojar las cuerdas del bolso para que los morosos pudieran obtener hipotecas."
Not Hope,Sarcasm,¿Así que su argumento de que cientos de miles de armas de fuego robadas de residencias anualmente es justo lo mismo para el curso?
Not Hope,Sarcasm,En realidad eso era obvio basado en tu tipo de razonamiento irracional.
Hope,Sarcasm,Estoy mental y espiritualmente listo para mudarme.
Not Hope,Sarcasm,"<modo de sarcasmo en> es agresión sexual porque cuando ella sobria y se dio cuenta de lo que había hecho, la pequeña querida no podría haber sido responsable de sus propias acciones. <modo de sarcasmo apagado>"
Not Hope,Sarcasm,"En cuanto a los insultos, este no tiene sentido, excepto en su pequeña mente.¿Y hice su lista de ignorados?¡Finalmente! ¡Estoy llegando a algún lugar!"
Not Hope,Sarcasm,"Vaya, vamos a aplaudir por ese gran argumento para el evolucionismo. finalmente estás animando por el lado correcto. personalmente, no estoy seguro de por qué esto se está criando de nuevo. es gracioso cuántos de ustedes religiosos están tan seguros de su fe, pero no pueden soportar ver a otras personas hablar de cómo los datos observables no encajan con ella."
Not Hope,Sarcasm,"<flush> Simplemente se me ocurre algo que desacredita la resurrección, si crees que puedes. Debería ser fácil para ti Einsteins, ¿no? Pero en dos años no lo he visto todavía. Ni de ti ni de nadie más. ¿Dónde está la carne de res?"
Not Hope,Sarcasm,"Este viejo atropellado camina 3 millas / día, nunca ha roto un hueso mayor y ha tenido sólo una operación como estudiante universitario para quitar mi apéndice. Apuesto a que puedo correr círculos alrededor de su culo liberal flácida. :p"
Hope,Sarcasm,"Bueno, sigue intentándolo y llegarás algún día."
Not Hope,Sarcasm,Así que ese chico molesto que sube tu cerca para recuperar su pelota es un juego justo.
Not Hope,Sarcasm,"Y, supongo que el sacerdote no estaba aterrorizando a su víctima y no le estaba diciendo al pobre niño que era ""la voluntad de Dios""."
Hope,Sarcasm,Disfrute de los bares y viñedos Asegúrese de enviar postales a la gente que muere en sus hospitales locales. Estoy seguro de que estarán contentos de que ya no se aburre
Not Hope,Sarcasm,"VoR es tan católico como el arzobispo de Cantebury. Tengo curiosidad por lo que tengo razón, ya que le pregunté si cree que los abortos médicamente innecesarios deberían ser legales o no."
Not Hope,Sarcasm,"Si Dios se supone que es omnibenevolente, ¿por qué debemos temerle? Oh, espera, él mata niños..."
Not Hope,Sarcasm,"Acabo de terminar de leer sus contribuciones a este hilo y estoy asombrado por la pura bombast de su tono y el esciolismo en su contenido. ¿Por qué no simplemente hacer puntos sucintos y lógicos sin el ""apoyo"" de un aparato ridículo de beca falsa ?"
Not Hope,Sarcasm,"Muchas de las denominaciones cristianas las están ignorando de la misma manera que ignoran las prohibiciones contra el cerdo, la tela mezclada, y lapidando a sus hijos hasta la muerte porque ellos los delatan."
Not Hope,Sarcasm,"No puede pecar, tener a una adolescente embarazada en un estrado de una noche, pero no pecado. matar a inocentes personalmente o ordenar a sus seguidores que lo hagan, pero no puede pecar. oh sí, no es muy bueno para cuidar de sus hijos. Quiero decir, mira a Adán y Eva y luego tuvo otra oportunidad con Jesús y mira cómo resultó. y ver arriba para otras cosas que no puede hacer."
Not Hope,Sarcasm,"En cuanto a la primera parte, le respondí arriba. con respecto a la segunda parte; ¿de qué demonios estás hablando? ¿chicas que nacen de huevos no fecundados? ¿y niños nacidos de madres vírgenes? ¿puede usted publicar alguna evidencia de estos casos? al lado de Jesús, por supuesto, porque sabemos que su padre es Dios y que él posee el espíritu santo."
Not Hope,Sarcasm,"¿Por qué su repentino interés en cavar todos los puestos que he respondido también? Sí, ¿qué tan tonto de mi parte debatirlo sobre 'puntos'? Yo debería debatirlo sobre .... ¿qué? y aquí usted está criticando de nuevo a un lado, y no al otro. Él estaba insultando; usted permaneció en silencio pedregoso porque niega que Darwin lo haya usado alguna vez. Darwin lo hizo. pequeño punto pero entró en todo tipo de argumentos altamente espurios en lugar de aceptar este punto (de nuevo usted estaba en silencio pedregoso sobre esto) ¿qué es la evolución? ¿cuál es la evidencia? bien que sería una primera vez. pero ¿por qué preguntar ahora, después de varios días, después de que se ha ido por el camino, después de hacer la reclamación una y otra vez? ¿usted no hizo ninguna declaración mientras estaba reclamando esta falsa afirmación? ¿por qué su repentino interés en cavar todos los puestos que he respondido también?"
Not Hope,Sarcasm,Supongo que nadie quería pescarlo en el inodoro. ;)
Not Hope,Sarcasm,Tal vez deberías subtitular este hilo: el derecho a una escuela con padres perfectos. pero eso no es educación pública. suenas tan extremo como la gente que no quiere padres gays en sus escuelas.
Not Hope,Sarcasm,"Vale, creo que entiendo tu punto, no te importan las leyes así que haz lo que quieras, no estás de acuerdo con algo así que quieres que lo hagas."
Not Hope,Sarcasm,"Suena como una enmienda a la ley de aborto para restringir todos los viajes de menores es necesario por aquellos que exigen que las niñas dan a luz después de ser impregnados por violadores, padres, tíos, etc. También podría incluir adultos, sólo para simplificar las cosas y mejorar el poder de la policía estatal. Bubbah estará encantado."
Not Hope,Sarcasm,...Porque todo el mundo sabe que no hay hombres casados abusando sexualmente de los niños. emoticonXConfundido
Hope,Sarcasm,"Si vi un capibara en persona, probablemente vomite."
Hope,Sarcasm,"He oído un rumor de que Baja Blast viene a las tiendas y sin importar si algo más que espero en la vida cae, al menos tendré esto."
Not Hope,Sarcasm,¿Así que estás diciendo que determinamos nuestro ADN? ¿Realmente piensas antes de escribir?
Not Hope,Sarcasm,"Te pediría un enlace, pero esta vez no me siento generoso. ¿No sabías que hay cerca de 2,5 millones de casos de autodefensa de armas al año, en aproximadamente el 92% de esos casos nadie fue herido? ¿Se compara esto con las 102.200 muertes microscópicas (no me digas que eso es, mal que es el mismo número que tu culto ha estado usando, camarada) que los fanáticos brady han estado quejando? tus estadísticas son simplemente falsas."
Not Hope,Sarcasm,Sí.Debemos obedecer la voluntad de la gente.¡El voto fue totalmente justo!Entonces...¿por qué están los que votaron obviamente por los disturbios de M.A.?Supongo que son como America.Vote por alguien loco... y luego disturbio sobre los resultados.
Not Hope,Sarcasm,¿Sabes cuántos Osama Bin Ladens matamos????EmoticonXRolleyes
Not Hope,Sarcasm,"Un montón de mujeres musulmanas que usan hijab de algún tipo u otro nacieron en el oeste (no conozco a nadie que use la burqa, es bastante raro), ¿dónde exactamente estás sugiriendo que vuelvan a? por última vez revisé que no había mucha arena en blackburn o birmingham."
Hope,Sarcasm,OH LIBRE MERCADO???? Im va a tomar los embriones y fetos muertos en los centros de aborto y convertirlo en una nueva fuente de alimentos y venderlo en la tienda de comestibles!!!!!!!!!!!!!!!!
Not Hope,Sarcasm,"No.. ve a leer la Biblia antes de que parezcas más tonto de lo que ya haces. lo siento querida, ad hominems no hacer nada. suena como si estuvieras hablando de algo que sabes poco sobre. me disculpo sueno de esa manera. sé ciertamente a lo que me refiero en la Biblia, y sabiendo que has admitido que no necesariamente sigues toda la Biblia (dios > biblia) pensé que no asumiría que creías en génesis de Adam y Eve. sino más bien darte la opción de decir sí o no. dios no quería que fuéramos marionetas. no necesariamente dije marionetas. él quería que tuviéramos libre albedrío, que hiciéramos lo que queríamos -y si lo amaban, debería ser su elección. si el pecado no fue creado, habríamos sido títeres de dios. así que dios estaba realizando alguna psicología inversa retorcida en Adán y Eva?"
Hope,Sarcasm,Esto también podría ser muy eficaz de manera positiva durante los discursos de campaña política.
Not Hope,Sarcasm,Estás aquí insultándome a pesar de que estamos de acuerdo en este asunto.
Not Hope,Sarcasm,"¿Es tu pensamiento realmente tan simplista? ¿O tengo que estar de acuerdo contigo o soy anarquista? ¿Es toda la complejidad que puedes manejar? ¿Esto o aquello? ¿Negro o blanco? ¿El mejor refresco del mundo es Sprite y todo lo demás está mal? ¿Qué aburrido mundo en el que vives? No hay daño alguno - eso es lo que me para en el sexo y el romance. Los niños, los animales y los que no dan o no pueden dar su consentimiento están fuera de límites. ¿K? Ahora que he establecido (OTRA VEZ) cómo me siento en ese asunto, déjame reinstaurar.Cualquier Dios que permite el amor y la intimidad para sólo un grupo selecto es visioso."
Not Hope,Sarcasm,"Oh sí, todos los científicos más famosos, compositores, escritores, bandas. todas las chicas por supuesto.... no, no realmente. sí whitney huston, obviamente mucho más grande que las piedras rodantes, beatles, que, llevó zeplin... ... sí genial. dar un paso atrás, y leer una buena literatura, usted podría aprender algo, poco parcial. opera la mujer más poderosa de la tierra> si ella es, ¿por qué va a morir en los próximos 30-40 años, y cómo es que nunca había oído hablar de ella hasta hace un rato? ¿cómo es que, si ella es tan poderosa, ella no está fuera curando enfermedades terminales. oh supongo que sentado en un sofá de cuero tratando de obtener más calificaciones es mucho mejor!"
Not Hope,Sarcasm,"¿De qué estás hablando? ¿cósmico? ¿qué tiene que ver el cosmos con la evolución fuera de causar extinciones? ¿y la macroevolución es un hecho observable? ¿cuándo ha ocurrido eso? la abiogénesis es la vida de la no-vida. la evolución no puede ocurrir sin la vida. su 'debate' y cuestiono el uso de esa palabra es un naufragio de tren y eso es antes de que incluso se ponga juntos. ¿disfrutas de inventar términos que nadie en un campo respetable ha usado alguna vez? la evolución es el cambio en frecuencias de alelos a lo largo del tiempo. ¿cómo puede algo que no tiene alelos, mucho menos estar vivo ser parte de la evolución? de nuevo, esto es un naufragio de tren."
Not Hope,Sarcasm,@rits_meg @freedomsenpai hot loli
Not Hope,Sarcasm,"Sí, y todos sabemos lo que pasó cuando lo hicieron con Galileo."
Not Hope,Sarcasm,¿Alguien más escucha un trueno o algo así?
Not Hope,Sarcasm,"Y no lo hice. ¿Notaste cómo puse explícitamente [Jesús dijo] para las dos primeras citas de la Biblia, pero no para la tercera? ¿Alguna idea de por qué? Vamos, piensa... ¡tú puedes hacerlo!"
Hope,Sarcasm,"@Moffstovoi Bien hecho! Con el mejor coaching ahora disponible, ¿podemos esperar una victoria decente de mañana?"
Not Hope,Sarcasm,todos los pls dejan de disparar fuegos artificiales mi perro está asustado :(
Not Hope,Sarcasm,"Oh Hank, realmente eres gracioso. la forma en que estás cambiando. simplemente hice una declaración de que era uno de muchos posts que has acordado. que era el post en el que has discutido. ¿Estás todavía cerca de todos esos humos de pintura? debe ser el efecto rotacional del mundo en forma de huevo en el que vives! :) como dije... cómo simple es eso? es uno que has acordado, y ahora estás de acuerdo en que es uno de varios que has acordado. ¿Cuál es tu punto? Hice una declaración en la que ahora estás de acuerdo. has planteado una objeción, incluso dices que todo el mundo sabe lo que has dicho, excepto yo. ¿cómo he demostrado que no te entiendo? no he cuestionado tu declaración original. he hecho una declaración complementaria."
Not Hope,Sarcasm,Creo que es un truco bastante bueno para un bebé muerto sentarse erguido en esa pequeña bañera.
Not Hope,Sarcasm,"Es un verdadero desastre, aunque tienes que darles puntos de originalidad."
Not Hope,Sarcasm,"¿Qué parte de ""No quiero un pene"" no lo entiendes del todo? ¿Es que tal vez usted es el que quiere un pene? Hay maneras de resolver ese problema. emoticonXRolleyes"
Not Hope,Sarcasm,Probablemente es una buena excusa. ¿Esperas que Jim respalde esa afirmación? EmoticonXGood No contengas la respiración.
Not Hope,Sarcasm,"¡Dile eso a un chico de 17 años!! ¿Nunca has sido un viejo cachondo de 17 años ******** befor? Espera, olvidé con quién estaba hablando,.. más que probable que no."
Not Hope,Sarcasm,Tal vez usted debe formar una religión para los gays sólo donde todos los miembros tienen que estar casados entre sí ... entonces presione por el tema de los derechos de las libertades religiosas. ;)
Not Hope,Sarcasm,"Sí, la Biblia nos dice que Dios mismo impedirá que Faraón deje ir a los israelitas, ¡entonces da la vuelta y castiga a Faraón matando a su hijo primogénito! ¡Pero es peor, porque Dios no solo mata a los primogénitos de los faraones, sino a TODOS los primogénitos egipcios! Oh, pero quizás la Biblia simplemente se equivocó de alguna manera: tal vez no repite que Dios endureció el corazón de los faraones. No. La Biblia lo dice MULTIPLES veces."
Not Hope,Sarcasm,"Oh, Mrwriterman hizo una gracia. Supongo que no todos los gays son sin humor. :)"
Not Hope,Sarcasm,¿No puedes venir con tu propia línea? Realmente no pensé que verías el cubo de gusanos que se agitaría si el matrimonio gay fuera legal pero traté de darte mi mejor oportunidad.............Ni siquiera mencioné las implicaciones del impuesto sobre la renta si esto estaba permitido............
Not Hope,Sarcasm,Estás tan loca como ella pero entonces eres un cerebro de pájaro supongo que no puedes evitarlo emoticonXChickenemoticonXChicken
Not Hope,Sarcasm,"No lo tomes como algo personal, la enfermedad mental es una enfermedad, no algo que puedas hacer..."
Not Hope,Sarcasm,"Jyoshu. Vuelve a la tierra. ¿Con qué frecuencia ves el término ""bigot"" lanzado en estos tableros de mensajes contra otros carteles?"
Not Hope,Sarcasm,"¿Crees que eres muy inteligente, eh? Bueno, adivina qué? Estás confundiendo lo común, lo más común, la mayoría y la norma. La zurda es considerada común y la norma. Estás usando una superstición de hace 300 años para calificar la zurda como desviada. Buen intento sin embargo. También la zurda es genética. No es un gen pero está genéticamente relacionada con las características físicas de la persona."
Not Hope,Sarcasm,"Y de repente la lista de declaraciones incorrectas de vor ha terminado otra vuelta alrededor del universo! el área que estaba saturada de basura con misiles de crucero estaba escasamente poblada. el bronce se quejó de ""golpear tiendas vacías con misiles de crucero de varios millones de dólares."" de repente usted está preocupado por matar a civiles inocentes? en serio, usted no tiene ningún problema cuando las políticas de Bush se matan unos pocos miles, pero el inmediato misil de crucero masivo de Clinton lanza terroristas aganistas mata a uno inocente, usted está sobre él. hablar de hipocracia masiva. usted se queja de Clinton no hacer nada, luego se queja cuando sus ataques contra el terrorismo causan garantía. en serio, obtener un poco de terapia y algo de educación."
Not Hope,Sarcasm,"Ganar cualquier elección política nunca ha sido elegir al ""mejor"" hombre para la oficina, simplemente significa que apelar a la mayoría de la gente que se presentó para votar. Smartest y más popular no son necesariamente la misma persona, si usted fue a la escuela que probablemente recuerde eso. ;)"
Not Hope,Sarcasm,"Por lo tanto, algunas partes de la Biblia son historia oral errónea después de todo! Qué admisión refrescante."
Hope,Sarcasm,"Para una buena risa, sígueme en @vsheltonsports para ver mi mejor intento de cubrir las noticias de negocios deportivos para la clase de este semestre."
Not Hope,Sarcasm,"Voy a cortar el contacto con cada persona que conozco y emerger en unos meses o un año a partir de ahora habiendo perdido la capacidad de hablar físicamente, pero ser capaz de tocar el acordeón más malvado que has oído en tu patética pequeña vida"
Not Hope,Sarcasm,"Enlazarme con un dicho de que la ""adicción"" a la hierba es peor que el alcoholismo, por favor."
Not Hope,Sarcasm,"""patrón militar, agarre de pistola independiente:Tal vez esto es lo que hace de un arma de fuego regular un arma de asalto super duper de alta potencia.Podría suceder, ya sabes, engañar a ese 22lr en un rifle de francotirador de calibre .50.hahahahahahahahahaha."
Not Hope,Sarcasm,¿Prefieres que te apuñalen hasta la muerte por veinte minutos que que te golpeen en la cabeza con una bala?
Not Hope,Sarcasm,"Una historia ligeramente anterior muestra que Clinton no estaba tan preocupado por Bin Laden. En 1996, la CIA había identificado a Bin Laden en un rancho en Afganistán. SOLO necesitaba permiso de la Casa Blanca de Clinton (no del Congreso) para vaporizarlo - estaba en el medio de la nada. Un funcionario de los ""Emiratos Árabes Unidos"" estaba con él, esa era la excusa de Clinton para no hacerlo. ¿Qué creía que estaban haciendo, haciendo galletas, o se dio cuenta de que podrían no haber sido buenos?¡Muchas gracias, William Jefferson Clinton!"
Not Hope,Sarcasm,El hada de los dientes tiene una función diferente que el conejo de Pascua.
Not Hope,Sarcasm,"Estaba pensando lo mismo. ¿Todavía tengo que conocer a un homosexual que no jugó la carta de la víctima perpetua, así que qué hará cuando anuncia su sexualidad y algún odiador del cuello rojo remodela su coche? Oh, espera, está en la escuela de leyes, ¿qué mejor manera de construir una carrera como mentiroso, er me refiero a un abogado. emoticonxrolleyes"
Not Hope,Sarcasm,Parece que alguien no pudo entender el hecho de que era un racista más cercano.
Hope,Sarcasm,"¡Yo no creía! ¡Yo no creía! ¡Yo esperaba! Como he dicho hasta el final, usted necesita estar abierto a la posibilidad. Si usted cree que no hay Dios y se niega a estar abierto a la posibilidad de otra manera..Todo lo que puedo decir es que espero que encuentre la paz en su BMW en su Gran Casa, su cuidador, su niño / novia, su esposa / marido, su hijo / hija ... su pequeña vida!"
Not Hope,Sarcasm,"Hombre, pensé que realmente tenías un cerebro en ese denso cráneo hueco tuyo. ¿Te das cuenta de que hay ateos rectos y cristianos gays, verdad Gans?"
Not Hope,Sarcasm,@lora__ SHOCKED. ¿Cómo se supone que voy a decirle a los niños que no van a Disneyland el 21 de junio después de todo? ¡Ya se ha cancelado 36 veces! https://t.co/SV8gpPn6yw
Not Hope,Sarcasm,"El hecho de que se emitió en MSNBC y Keith Olbermann me dice que sólo se podría inclinar de una manera. ¿Qué limitaciones la Constitución establece para las familias jueces de la Corte Suprema? Pero, por supuesto, los jueces se supone que gobernar en la ""constitucionalidad"" de una ley, no su propia ideología personal, ¿verdad?"
Not Hope,Sarcasm,"Supongo, entonces, que no tienes vida, ¿me equivoco?"
Not Hope,Sarcasm,"Supongo que es una buena cosa que no estaba respondiendo y / o hablando con usted entonces. Pero gracias por su aportación, se ha notado."
Not Hope,Sarcasm,"Escuchar que te amo es agradable y todo, pero ¿alguna vez te ha dicho tu SO que comas mierda? ugh @samduhclam"
Not Hope,Sarcasm,"Ciertamente, un término que nunca había oído hablar; ni siquiera wikpedia lo tiene."
Not Hope,Sarcasm,@kashirenaii Yo nunca iría a seis banderas con u
Not Hope,Sarcasm,"Ochenta y nueve veces. Todavía un socio bastante junior. Debo admitir que no le gusta ser despreciado sin embargo, como lo demuestra Lucas 12:10. Uno puede decir algunas cosas desagradables sobre el Hijo del Hombre, y todo está bien. Pero decir un comentario fuera de color sobre el Espíritu Santo y es tiempo de lagos-o-fuego. Él necesita conseguir piel más gruesa, OMI. ¿Los fantasmas tienen piel, BTW?"
Not Hope,Sarcasm,Así que la manera más rápida de obtener más de 20.000 puntos es no ser serio? comprobar!
Not Hope,Sarcasm,Es todo sobre las mujeres en luchas de vástagos. ¿Qué pasa con las mujeres en luchas de medios interactivos: Ya no gano contra mis amigos en el choque porque se especializan en el maldito videojuego.
Not Hope,Sarcasm,"Según la evidencia, debe haber sido donde su cerebro estaba localizado."
Not Hope,Sarcasm,"Jyoshu, deja de beber la Kool-Aid antes de que tu cerebro esté totalmente frito."
Not Hope,Sarcasm,"hmmm. 'wow ... y esta operación lo hizo a través del riguroso proceso de revisión de administración? de todos modos, aquí hay una pregunta para que usted pueda reflexionar. si dios hizo humano de la suciedad, ¿cómo es que todavía hay suciedad alrededor?' suena como una broma para mí. evc foro: evolución humana (re: si evoluciona de monos, ¿por qué todavía simios?) pero todos sabemos que el arco es incapaz de abrir los enlaces de color azul."
Hope,Sarcasm,"""Solía ser."" ""De vuelta en los buenos días."" Dame un descanso. ¿Quieres tomar una máquina del tiempo a los 50s?"
Hope,Sarcasm,"Si pudiéramos frotar una lámpara de latón, hacer tres deseos y arreglar nuestros problemas de energía inmediatamente, estaría de acuerdo con ustedes. Pero como vivimos en el MUNDO REAL, debemos convertirnos en INDEPENDIENTES DE ACEITE mientras estamos perfeccionando y construyendo una infraestructura de fuentes de energía renovables."
Not Hope,Sarcasm,"No estoy de acuerdo, pero creo que ya es hora de mantener a todo el mundo en un nivel más alto. ¡Deberíamos suspender el matrimonio hetero hasta que limpien su acto!"
Not Hope,Sarcasm,¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!!!!!!!!!!!!¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Not Hope,Sarcasm,"¿Dónde está tu ""prueba"" de que un ser mágico en los Cielos nos creó?"
Hope,Sarcasm,"Sí, a tu cónyuge potencial le gustarás por tu personalidad después de cumplir con el requisito previo de ser el género adecuado para ellos."
Hope,Sarcasm,Espero que mi clase de trabajo social vaya a involucrar tequila y papas fritas y salsa.
Not Hope,Sarcasm,@brruhia Nah bruh solo lo bebes boca abajo
Not Hope,Sarcasm,"Y no tuve que elegir ser homosexual. Es una inclinación natural. Elegí no esconderme o mentir sobre quién soy. Sin embargo tú eres el que parece estar bajo la ilusión de que ser gay es una opción. Una vez más te pregunto si es sólo una opción, entonces eliges ser gay en este momento."
Not Hope,Sarcasm,"Así que en otras palabras, estás diciendo que en algún lugar a lo largo de las líneas, Dios cambió de opinión."
Not Hope,Sarcasm,"Y tener un hijo con una enfermedad terminal y verlos morir muy probablemente lentamente debido a mi ""alma gemela"". Sí. Estoy pensando si están dispuestos a hacerme pasar que no son un alma gemela en absoluto. >_>"
Hope,Sarcasm,"PORK FACTORY! Sé lo que dijo Bismarck acerca de salchichas y leyes hechas por las democracias, pero PORK FACTORY!!? ¿Quieres decir que todo este tiempo Jimmy Dean ha fabricado lo que compro en el supermercado. Espero que no emplea ninguno de ellos ther durn ILEGALS en su fábrica.emoticonXSmilie"
Not Hope,Sarcasm,Estoy seguro de que esta junta podría usar la ayuda en cuanto a su escenario es bastante risible pero lo que sea. punto ser es si la gente demanda evidencia por qué no darles eso? Prefiero ser un hombre honesto abierto que esconderse detrás de una manija cualquier día.
Not Hope,Sarcasm,"Vaya, eso demuestra que mi memoria a corto plazo apesta. ok la 'cocina' no es ninguna área en particular. entras a la cocina profiriendo insultos."
Not Hope,Sarcasm,"En realidad, me sorprende que no puedas ver eso. Quiero decir, fingir que eres ateo. Si lees lo que acabas de escribir, pensarías que también te lavan el cerebro."
Not Hope,Sarcasm,"Supongo que te perdiste esta parte: El senador estatal Robert Hagan (D-Youngstown) admite que su proyecto de ley es puramente ""lengua en la mejilla"" pero dice que el mensaje es cualquier cosa menos una broma. Siendo una historia de una fuente de noticias gay, tal vez usted vio la palabra ""lengua"" y asumió que habría una descripción vívida de algún acto sexual abominable, por lo que dejó de leer, cerró la ventana de su navegador, cerró su computadora, lo sumergió en desinfectante, etc., etc.. ¿O es esto sólo una prueba de que no lee lo que la gente postea?"
Not Hope,Sarcasm,Tengo todo un Nuevo Testamento. ¿Tienes qué - una boca llena de negación? Cuando llegues al nivel de las obras del NT háznoslo saber.
Not Hope,Sarcasm,"Es curioso, pensé que Heribert Nilsson era botánico, pero no dejes que pequeños detalles como ese se interpongan en tu camino."
Not Hope,Sarcasm,Debe ser una persona porque lo dice ahora. ¿Quizá cambie de opinión otra vez?
Not Hope,Sarcasm,"¿Cómo puedo hacer un argumento ""legítimo"" con alguien que cree que todas las religiones se basan en ""un hombre en el cielo"". Es como discutir sobre la cultura oriental con alguien que piensa que China está en África... inútil. China no está en África Xcaliber... no hay necesidad de google it lol:)"
Not Hope,Sarcasm,No puedo esperar a que esos cheques de $2000 salgan inmediatamente.
Not Hope,Sarcasm,Ok te entiendo que es un campesino oh querido debería haber sabido que nuestra marca (Ireland) es ligeramente diferente...
Not Hope,Sarcasm,":p No tengo ni idea de cómo calificar a los presidentes en estos días, pero este cierto Prez se clasificaría como *wai hasta allí."
Not Hope,Sarcasm,"Me pregunto si debería dejar que la hierba u otra hierba subiera en el patio después de pasar mucho tiempo sodding con fescue. Después de todo, todo es sólo hierba, ¿eh? emoticonXRolleyes"
Not Hope,Sarcasm,¿Quién sino un creacionista haría alguna vez una afirmación tan risible?
Not Hope,Sarcasm,"¿Cómo llenaría algunos de los huecos? Aquí estaba mi secuencia: algo como la vida unicelular a la vida multicelular, conglomeraciones multicelulares aleatorias a una ameba, a un pez, a un dinosaurio, a un mamífero, a un simio, y finalmente a un hombre?"
Not Hope,Sarcasm,¿Es simplista el principio antrópico?¿Qué ley natural creó la ley natural?¿De dónde vino la información?¿Es simplista la materia que crea la materia? ¿Es simplista la materia que crea la información?Aquí; es un pensamiento profundo: ¡Si la materia creó el Universo y si cambia es la mente!
Not Hope,Sarcasm,ik los republicanos r como tryna dicen que ganaron pero idk ¿por qué no sólo resolver esta w una encuesta instagram??
Not Hope,Sarcasm,"Bueno, entonces, ¿por qué no nos dices ""correcto"" punto de vista sobre el matrimonio gay?"
Not Hope,Sarcasm,¿Se supone que debo tomar eso como un insulto o sólo un comentario pasajero?
Not Hope,Sarcasm,"¿Le parece esto un poco irónico a alguien más? O embriagarse es aceptable o no lo es, ¿por qué el método hace que uno sea aceptable y los practicantes de los otros ""perdedores""? Para el registro no bebo, fumo o tomo drogas ilegales."
Not Hope,Sarcasm,"Por suerte para el segundo puesto Brentford que no hay ningún equipo destacado como Leeds este año, o podrían no tener ninguna posibilidad de ganar la liga. #ncfc"
Not Hope,Sarcasm,Me encanta cuando tienes que trabajar tan duro para evitar cualquier punto que hice. Lo tomo como asentimiento a mi post original.
Not Hope,Sarcasm,"Lol. dice que el que ni siquiera se molestó en abrir el enlace de correo específico. huh. otra vez, usted no se preocupa por la evidencia. le di a usted y usted dijo que nunca lo hice a pesar del enlace a la publicación específica allí. mentiroso me llama? bien, supongo que se necesita uno para conocer uno. cuestionable. todo lo que el autor hizo fue declarar que la evidencia rechaza yec. él no argumenta por otra forma de creacionismo. por favor deje de tratar de argumentar que sólo hay una forma de creacionismo. mi dios usted es deshonesto. todavía evitando por qué arco reemplazaría yec con cristanidad eh? aparentemente usted piensa que la intercambiabilidad significa que las palabras significa dos cosas diferentes a pesar de ser utilizado indistintamente como el mismo."
Not Hope,Sarcasm,"cazador, ¿estaría usted interesado en realmente discutir esto lógicamente? ¿o simplemente desea echar fuera las afirmaciones vacías y huir cuando se le desafíe? si su punto de vista es la verdad, entonces usted no tiene ninguna razón para correr."
Not Hope,Sarcasm,"wow, ahí lo tienes otra vez. primero podemos reducir los costos de atención médica contratando a muchos médicos y enfermeras y construyendo muchos más hospitales... que tienen que ser, ya sabes, pagados. ahora podemos reducir las tarifas postales contratando a mucha gente de reparto! que tienen que ser, ya sabes, pagados. en su opinión parece que cualquier costo puede ser reducido gastando más dinero... es fascinante realmente."
Not Hope,Sarcasm,"siete demonios, ¿eh? ¿eso es mucho? pequeña posibilidad de vivir limpio con esos chicos a bordo, ¿eh? interesante. Estoy intrigado de que usted cree en demonios. ¿Existen todavía? Si es así, ¿cómo se manifiestan y cómo usted sabe eso?"
